#  noise_% parameter                mean         median            std        ci95_lo        ci95_hi       Rhat
       0.1 eta_s            9.873119e-01   9.872963e-01   1.659148e-03   9.841244e-01   9.905923e-01     1.0024
       0.1 delta            1.243630e-01   1.243687e-01   1.450411e-03   1.215456e-01   1.272317e-01     1.0034
       0.1 sigma_noise      1.294495e-02   1.275352e-02   1.820498e-03   9.962170e-03   1.711508e-02     1.0037
       0.5 eta_s            9.857274e-01   9.856927e-01   3.956598e-03   9.780067e-01   9.936058e-01     1.0028
       0.5 delta            1.234626e-01   1.233871e-01   3.479220e-03   1.168143e-01   1.306167e-01     1.0015
       0.5 sigma_noise      3.169471e-02   3.117058e-02   4.557461e-03   2.426253e-02   4.211306e-02     1.0016
         1 eta_s            9.843229e-01   9.844311e-01   7.452867e-03   9.696024e-01   9.992335e-01     1.0022
         1 delta            1.228370e-01   1.227659e-01   6.545426e-03   1.102341e-01   1.362214e-01     1.0024
         1 sigma_noise      5.859745e-02   5.766556e-02   8.218441e-03   4.520349e-02   7.740260e-02     1.0039
         2 eta_s            9.811109e-01   9.807385e-01   1.428501e-02   9.536509e-01   1.009891e+00     1.0025
         2 delta            1.213480e-01   1.206750e-01   1.223194e-02   9.960461e-02   1.474282e-01     1.0044
         2 sigma_noise      1.136615e-01   1.117288e-01   1.596402e-02   8.770598e-02   1.492709e-01     1.0027
         5 eta_s            9.717610e-01   9.703613e-01   3.457237e-02   9.069846e-01   1.044280e+00     1.0030
         5 delta            1.185628e-01   1.151939e-01   3.005016e-02   7.019773e-02   1.894124e-01     1.0031
         5 sigma_noise      2.799598e-01   2.760265e-01   3.918279e-02   2.161714e-01   3.671973e-01     1.0008
        10 eta_s            9.582871e-01   9.533662e-01   6.837462e-02   8.367773e-01   1.101640e+00     1.0014
        10 delta            1.206568e-01   1.053453e-01   6.882104e-02   3.987787e-02   2.846830e-01     1.0006
        10 sigma_noise      5.503430e-01   5.444139e-01   7.378049e-02   4.245460e-01   7.158328e-01     1.0050
