# Hasimoto simple-cubic correction, a=1.0, L=60
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.95273106
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.66347599E+00 -2.28393193E-05 -6.66219667E-06  2.05237223E-06  1.37482612E-06 -1.79241366E-08
 5.00000000E-03  1.33173799E-02 -1.14196597E-07 -3.33109833E-08  2.44369496E+00 -1.92167852E-05 -5.72240996E-06  1.76356356E-06  1.21609681E-06 -1.27471597E-08
 1.00000000E-02  2.49864022E-02 -2.01224187E-07 -5.95735663E-08  2.25224920E+00 -1.63591887E-05 -9.53597149E-06  1.43186038E-06  1.03420291E-06 -2.91856548E-08
 1.50000000E-02  3.57690338E-02 -2.75876140E-07 -1.16787327E-07  2.08356376E+00 -1.38110377E-05 -1.27602853E-05  1.15371062E-06  8.78466522E-07 -3.40891885E-08
 2.00000000E-02  4.57651390E-02 -3.38560952E-07 -1.88649539E-07  1.93614468E+00 -1.15570767E-05 -1.54264208E-05  9.25172705E-07  7.51074355E-07 -3.58452212E-08
 2.50000000E-02  5.50773147E-02 -3.90711432E-07 -2.72446981E-07  1.80772232E+00 -9.57866595E-06 -1.76043723E-05  7.37903161E-07  6.42709965E-07 -3.93028426E-08
 3.00000000E-02  6.37948703E-02 -4.33658735E-07 -3.65913721E-07  1.69598950E+00 -7.85222854E-06 -1.93700423E-05  5.85758345E-07  5.52371018E-07 -4.38105266E-08
 3.50000000E-02  7.19954859E-02 -4.68603783E-07 -4.67178107E-07  1.59882551E+00 -6.35422449E-06 -2.07922920E-05  4.62959792E-07  4.77363636E-07 -4.88992336E-08
 4.00000000E-02  7.97467034E-02 -4.96629896E-07 -5.74695192E-07  1.51434720E+00 -5.06188068E-06 -2.19304556E-05  3.64490142E-07  4.15296618E-07 -5.42024987E-08
 4.50000000E-02  8.71072436E-02 -5.18708441E-07 -6.87192878E-07  1.44090389E+00 -3.95359041E-06 -2.28345947E-05  2.86093400E-07  3.64085540E-07 -5.94707559E-08
