# Hasimoto simple-cubic correction, a=1.0, L=20
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.85865860
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.66249226E+00 -1.90662519E-05 -7.43366497E-05 -4.97775991E-06  4.86263947E-07  1.69253086E-07
 5.00000000E-03  1.33124612E-02 -9.53312595E-08 -3.71683249E-07  2.44280415E+00 -1.04167697E-05 -6.27053852E-05 -4.31106820E-06  3.08358969E-07  2.45111454E-07
 1.00000000E-02  2.49772618E-02 -1.25791403E-07 -6.56132013E-07  2.25147293E+00 -7.93173803E-06 -5.03042499E-05 -3.53928948E-06  7.01247242E-08  3.99669598E-07
 1.50000000E-02  3.57562983E-02 -1.59237513E-07 -8.76650424E-07  2.08288639E+00 -5.27639008E-06 -3.91639461E-05 -2.88992614E-06 -9.97228578E-08  5.30625922E-07
 2.00000000E-02  4.57492640E-02 -1.78981095E-07 -1.04461940E-06  1.93555173E+00 -2.38308564E-06 -2.92131035E-05 -2.35456081E-06 -2.15011070E-07  6.34813916E-07
 2.50000000E-02  5.50586859E-02 -1.83663262E-07 -1.16580781E-06  1.80720097E+00  6.80612775E-07 -2.03610972E-05 -1.91578870E-06 -2.91198908E-07  7.20412024E-07
 3.00000000E-02  6.37738138E-02 -1.72600951E-07 -1.24548328E-06  1.69552863E+00  3.81117180E-06 -1.25138934E-05 -1.55910099E-06 -3.37992856E-07  7.87987238E-07
 3.50000000E-02  7.19722762E-02 -1.45718694E-07 -1.28843473E-06  1.59841560E+00  6.91407781E-06 -5.58108548E-06 -1.27102647E-06 -3.62884132E-07  8.40028502E-07
 4.00000000E-02  7.97215716E-02 -1.03391041E-07 -1.29900814E-06  1.51398012E+00  9.91443425E-06  5.22708617E-07 -1.03988555E-06 -3.71749386E-07  8.78942915E-07
 4.50000000E-02  8.70803835E-02 -4.63179784E-08 -1.28113511E-06  1.44057274E+00  1.27575337E-05  5.87709465E-06 -8.55741655E-07 -3.69094390E-07  9.06940802E-07
 5.00000000E-02  9.40997287E-02  2.45774385E-08 -1.23836368E-06  1.37675487E+00  1.54058952E-05  1.05561602E-05 -7.10243686E-07 -3.58356047E-07  9.25978085E-07
 5.50000000E-02  1.00823958E-01  1.08227818E-07 -1.17388521E-06  1.32127437E+00  1.78361411E-05  1.46285314E-05 -5.96410436E-07 -3.42137902E-07  9.37754711E-07
 6.00000000E-02  1.07291629E-01  2.03484138E-07 -1.09056163E-06  1.27304214E+00  2.00360722E-05  1.81574751E-05 -5.08424206E-07 -3.22400286E-07  9.43723982E-07
 6.50000000E-02  1.13536259E-01  3.09164327E-07 -9.90951891E-07  1.23111121E+00  2.20021221E-05  2.12010657E-05 -4.41448657E-07 -3.00612752E-07  9.45112755E-07
 7.00000000E-02  1.19586987E-01  4.24090063E-07 -8.77337587E-07  1.19465833E+00  2.37370788E-05  2.38123598E-05 -3.91461636E-07 -2.77916614E-07  9.43013742E-07
 7.50000000E-02  1.25469147E-01  5.47112847E-07 -7.51747552E-07  1.16296778E+00  2.52484073E-05  2.60400991E-05 -3.55179590E-07 -2.55116469E-07  9.38262194E-07
 8.00000000E-02  1.31204760E-01  6.77133205E-07 -6.15977708E-07  1.13541735E+00  2.65470610E-05  2.79282601E-05 -3.29874498E-07 -2.32689005E-07  9.31823920E-07
 8.50000000E-02  1.36812971E-01  8.13115145E-07 -4.71616005E-07  1.11146614E+00  2.76465565E-05  2.95166165E-05 -3.13270726E-07 -2.11413831E-07  9.24322671E-07
 9.00000000E-02  1.42310424E-01  9.54096666E-07 -3.20062031E-07  1.09064392E+00  2.85616444E-05  3.08412072E-05 -3.03497111E-07 -1.91146734E-07  9.15654073E-07
 9.50000000E-02  1.47711588E-01  1.09919261E-06 -1.62544518E-07  1.07254189E+00  2.93077214E-05  3.19345003E-05 -2.99006968E-07 -1.71599453E-07  9.06192068E-07
 1.00000000E-01  1.53029042E-01  1.24759640E-06 -1.38783691E-10  1.05680469E+00  2.99005457E-05  3.28254662E-05 -2.98566952E-07 -1.53251599E-07  8.96439378E-07
 1.05000000E-01  1.58273722E-01  1.39858120E-06  1.66215962E-07  1.04312338E+00  3.03556406E-05  3.35401166E-05 -3.01184601E-07 -1.36109711E-07  8.86747566E-07
 1.10000000E-01  1.63455136E-01  1.55149714E-06  3.35703171E-07  1.03122936E+00  3.06879676E-05  3.41016621E-05 -3.06064690E-07 -1.20208514E-07  8.77203079E-07
 1.15000000E-01  1.68581547E-01  1.70576779E-06  5.07615345E-07  1.02088916E+00  3.09117715E-05  3.45307694E-05 -3.12565446E-07 -1.05567073E-07  8.67892180E-07
 1.20000000E-01  1.73660143E-01  1.86088616E-06  6.81341960E-07  1.01189978E+00  3.10404764E-05  3.48458276E-05 -3.20172363E-07 -9.21675851E-08  8.58896206E-07
 1.25000000E-01  1.78697168E-01  2.01641031E-06  8.56358744E-07  1.00408475E+00  3.10866029E-05  3.50631623E-05 -3.28477091E-07 -7.99686771E-08  8.50280333E-07
 1.30000000E-01  1.83698054E-01  2.17195864E-06  1.03221789E-06  9.97290669E-01  3.10617120E-05  3.51972238E-05 -3.37159477E-07 -6.89125652E-08  8.42089055E-07
 1.35000000E-01  1.88667523E-01  2.32720497E-06  1.20853917E-06  9.91384157E-01  3.09763869E-05  3.52607598E-05 -3.45971770E-07 -5.89302934E-08  8.34348290E-07
 1.40000000E-01  1.93609677E-01  2.48187359E-06  1.38500181E-06  9.86249267E-01  3.08402405E-05  3.52649831E-05 -3.54725003E-07 -4.99470863E-08  8.27069724E-07
 1.45000000E-01  1.98528086E-01  2.63573443E-06  1.56133728E-06  9.81785201E-01  3.06619418E-05  3.52197270E-05 -3.63277673E-07 -4.18865557E-08  8.20255111E-07
 1.50000000E-01  2.03425852E-01  2.78859838E-06  1.73732278E-06  9.77904326E-01  3.04492560E-05  3.51335895E-05 -3.71526480E-07 -3.46733703E-08  8.13898757E-07
 1.55000000E-01  2.08305671E-01  2.94031295E-06  1.91277537E-06  9.74530456E-01  3.02090923E-05  3.50140657E-05 -3.79398742E-07 -2.82348670E-08  8.07989387E-07
