# Hasimoto simple-cubic correction, a=1.0, L=5
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.46605032
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.64748355E+00 -1.22525874E-03 -1.29999215E-03 -1.12104225E-05  1.00926211E-04 -5.16232419E-06
 5.00000000E-03  1.32374178E-02 -6.12629370E-06 -6.49996075E-06  2.42927078E+00 -1.10215171E-03 -1.14509399E-03 -9.90283916E-06  8.88952613E-05 -3.95922578E-06
 1.00000000E-02  2.48382397E-02 -1.13292847E-05 -1.18381853E-05  2.23946010E+00 -9.53731963E-04 -9.95502795E-04 -8.37400218E-06  7.59115219E-05 -2.70803749E-06
 1.50000000E-02  3.55610135E-02 -1.57268951E-05 -1.64417213E-05  2.07219563E+00 -8.23838638E-04 -8.65681784E-04 -7.03327579E-06  6.44733517E-05 -1.17588680E-06
 2.00000000E-02  4.55038304E-02 -1.95213550E-05 -2.04455777E-05  1.92599483E+00 -7.11166605E-04 -7.54742226E-04 -5.88156057E-06  5.46040395E-05  3.14629356E-07
 2.50000000E-02  5.47683027E-02 -2.27955079E-05 -2.39419399E-05  1.79861124E+00 -6.13763218E-04 -6.60709605E-04 -4.91264919E-06  4.61994512E-05  1.62615304E-06
 3.00000000E-02  6.34428999E-02 -2.56208155E-05 -2.70104064E-05  1.68776126E+00 -5.29715982E-04 -5.81408553E-04 -4.10319901E-06  3.90748513E-05  2.76328932E-06
 3.50000000E-02  7.16045812E-02 -2.80592775E-05 -2.97191965E-05  1.59134597E+00 -4.57274170E-04 -5.14808172E-04 -3.43193513E-06  3.30690644E-05  3.73840058E-06
 4.00000000E-02  7.93202729E-02 -3.01645437E-05 -3.21267363E-05  1.50750153E+00 -3.94894086E-04 -4.59106416E-04 -2.87908357E-06  2.80342966E-05  4.56447825E-06
 4.50000000E-02  8.66481694E-02 -3.19830639E-05 -3.42830142E-05  1.43459409E+00 -3.41230969E-04 -4.12727098E-04 -2.42656886E-06  2.38258054E-05  5.25955469E-06
 5.00000000E-02  9.36388711E-02 -3.35550611E-05 -3.62307013E-05  1.37119853E+00 -2.95116475E-04 -3.74302018E-04 -2.05862120E-06  2.03151143E-05  5.84135580E-06
 5.50000000E-02  1.00336375E-01 -3.49153571E-05 -3.80061486E-05  1.31607424E+00 -2.55536436E-04 -3.42648479E-04 -1.76166955E-06  1.73933560E-05  6.32613767E-06
 6.00000000E-02  1.06778935E-01 -3.60940892E-05 -3.96402572E-05  1.26814202E+00 -2.21611348E-04 -3.16746832E-04 -1.52406228E-06  1.49691538E-05  6.72825204E-06
 6.50000000E-02  1.12999815E-01 -3.71173333E-05 -4.11592373E-05  1.22646339E+00 -1.92578905E-04 -2.95719431E-04 -1.33583968E-06  1.29655526E-05  7.06013893E-06
 7.00000000E-02  1.19027935E-01 -3.80076466E-05 -4.25852660E-05  1.19022231E+00 -1.67778402E-04 -2.78811817E-04 -1.18854193E-06  1.13173591E-05  7.33258200E-06
 7.50000000E-02  1.24888444E-01 -3.87845373E-05 -4.39370560E-05  1.15870925E+00 -1.46637015E-04 -2.65376191E-04 -1.07501640E-06  9.96910529E-06  7.55493807E-06
 8.00000000E-02  1.30603208E-01 -3.94648690E-05 -4.52303479E-05  1.13130728E+00 -1.28657928E-04 -2.54857003E-04 -9.89233544E-07  8.87349613E-06  7.73530426E-06
 8.50000000E-02  1.36191239E-01 -4.00632108E-05 -4.64783348E-05  1.10747998E+00 -1.13410158E-04 -2.46778465E-04 -9.26121581E-07  7.99019216E-06  7.88064853E-06
 9.00000000E-02  1.41669071E-01 -4.05921424E-05 -4.76920308E-05  1.08676096E+00 -1.00519824E-04 -2.40733732E-04 -8.81425209E-07  7.28480936E-06  7.99692662E-06
