# Hasimoto simple-cubic correction, a=1.0, L=40
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.92913295
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.66330924E+00  5.39291162E-05 -4.46052672E-05  1.49494090E-08  2.93327519E-06  1.68054756E-06
 5.00000000E-03  1.33165461E-02  2.69645581E-07 -2.23026336E-07  2.44354191E+00  5.02381576E-05 -3.86350303E-05  7.74995824E-09  2.58983197E-06  1.48710663E-06
 1.00000000E-02  2.49848373E-02  5.11608973E-07 -4.01275895E-07  2.25211410E+00  3.90781944E-05 -3.01102839E-05  8.00220740E-09  2.21664650E-06  1.19619717E-06
 1.50000000E-02  3.57668383E-02  6.79100036E-07 -5.30515449E-07  2.08344423E+00  2.96400309E-05 -2.25750957E-05  1.16065898E-08  1.91512868E-06  9.45890733E-07
 2.00000000E-02  4.57623848E-02  8.03704781E-07 -6.24552958E-07  1.93603857E+00  2.18737923E-05 -1.59684330E-05  1.68296703E-08  1.66807110E-06  7.20185183E-07
 2.50000000E-02  5.50740635E-02  8.93658147E-07 -6.87878466E-07  1.80762774E+00  1.55753846E-05 -1.01986014E-05  2.18950282E-08  1.46627311E-06  5.26696740E-07
 3.00000000E-02  6.37911751E-02  9.55789051E-07 -7.24446893E-07  1.69590476E+00  1.05176367E-05 -5.17298782E-06  2.66888213E-08  1.30099305E-06  3.60347565E-07
 3.50000000E-02  7.19913914E-02  9.95732864E-07 -7.37747798E-07  1.59874917E+00  6.48946573E-06 -8.05410180E-07  3.11323175E-08  1.16570920E-06  2.18555646E-07
 4.00000000E-02  7.97422483E-02  1.01810977E-06 -7.30855905E-07  1.51427801E+00  3.30731152E-06  2.98185231E-06  3.51936548E-08  1.05504064E-06  9.86409214E-08
 4.50000000E-02  8.71024604E-02  1.02669094E-06 -7.06478487E-07  1.44084078E+00  8.15783443E-07  6.25816608E-06  3.88647356E-08  9.64579561E-07 -2.00980096E-09
 5.00000000E-02  9.41230712E-02  1.02454103E-06 -6.66996873E-07  1.37699802E+00 -1.11499637E-06  9.08521778E-06  4.21509483E-08  8.90708153E-07 -8.58641530E-08
 5.50000000E-02  1.00848454E-01  1.01413910E-06 -6.14503155E-07  1.32149680E+00 -2.59305508E-06  1.15176417E-05  4.50678059E-08  8.30458040E-07 -1.55195418E-07
 6.00000000E-02  1.07317185E-01  9.97478681E-07 -5.50833887E-07  1.27324738E+00 -3.70776304E-06  1.36038235E-05  4.76364782E-08  7.81388761E-07 -2.12059179E-07
 6.50000000E-02  1.13562799E-01  9.76153095E-07 -4.77599314E-07  1.23130225E+00 -4.53272043E-06  1.53866048E-05  4.98819095E-08  7.41490678E-07 -2.58289100E-07
 7.00000000E-02  1.19614447E-01  9.51427100E-07 -3.96209337E-07  1.19483766E+00 -5.12827043E-06  1.69038859E-05  5.18325854E-08  7.09037180E-07 -2.95505266E-07
 7.50000000E-02  1.25497474E-01  9.24296873E-07 -3.07896704E-07  1.16313751E+00 -5.54379549E-06  1.81894445E-05  5.35084456E-08  6.82597475E-07 -3.25031321E-07
 8.00000000E-02  1.31233911E-01  8.95539083E-07 -2.13735585E-07  1.13557924E+00 -5.81956490E-06  1.92728597E-05  5.48845760E-08  6.61144942E-07 -3.48301734E-07
 8.50000000E-02  1.36842911E-01  8.65751835E-07 -1.14662749E-07  1.11162167E+00 -5.98820824E-06  2.01799323E-05  5.59788689E-08  6.44151010E-07 -3.66406154E-07
 9.00000000E-02  1.42341126E-01  8.35389185E-07 -1.14954061E-08  1.09079432E+00 -6.07615347E-06  2.09338762E-05  5.68009318E-08  6.30152472E-07 -3.79720127E-07
 9.50000000E-02  1.47743030E-01  8.04788555E-07  9.50588345E-08  1.07268818E+00 -6.10410298E-06  2.15550204E-05  5.73962934E-08  6.18670242E-07 -3.89126184E-07
 1.00000000E-01  1.53061205E-01  7.74198166E-07  2.04386797E-07  1.05694772E+00 -6.08865713E-06  2.20614429E-05  5.78220858E-08  6.09439881E-07 -3.95988315E-07
 1.05000000E-01  1.58306592E-01  7.43793495E-07  3.15960068E-07  1.04326384E+00 -6.04304025E-06  2.24689274E-05  5.81029161E-08  6.02301497E-07 -4.00673626E-07
 1.10000000E-01  1.63488702E-01  7.13692337E-07  4.29323416E-07  1.03136784E+00 -5.97761317E-06  2.27912671E-05  5.82605295E-08  5.96788627E-07 -4.03404429E-07
 1.15000000E-01  1.68615801E-01  6.83967838E-07  5.44085601E-07  1.02102613E+00 -5.90033862E-06  2.30405530E-05  5.83166774E-08  5.92471061E-07 -4.04519213E-07
 1.20000000E-01  1.73695078E-01  6.54659332E-07  6.59911580E-07  1.01203563E+00 -5.81726033E-06  2.32273929E-05  5.82910397E-08  5.89065355E-07 -4.04358371E-07
 1.25000000E-01  1.78732779E-01  6.25780725E-07  7.76515645E-07  1.00421979E+00 -5.73290739E-06  2.33610721E-05  5.81999597E-08  5.86385675E-07 -4.03209684E-07
 1.30000000E-01  1.83734339E-01  5.97327070E-07  8.93655203E-07  9.97425156E-01 -5.65060333E-06  2.34497011E-05  5.80566031E-08  5.84297365E-07 -4.01309504E-07
 1.35000000E-01  1.88704478E-01  5.69279814E-07  1.01112528E-06  9.91518293E-01 -5.57270906E-06  2.35003534E-05  5.78712959E-08  5.82692442E-07 -3.98853178E-07
 1.40000000E-01  1.93647302E-01  5.41611004E-07  1.12875368E-06  9.86383214E-01 -5.50082047E-06  2.35191858E-05  5.76522054E-08  5.81480648E-07 -3.96001523E-07
 1.45000000E-01  1.98566381E-01  5.14286624E-07  1.24639669E-06  9.81919085E-01 -5.43593563E-06  2.35115470E-05  5.74060132E-08  5.80585376E-07 -3.92885761E-07
 1.50000000E-01  2.03464815E-01  4.87269158E-07  1.36393532E-06  9.78038244E-01 -5.37858991E-06  2.34820743E-05  5.71383602E-08  5.79941717E-07 -3.89611907E-07
 1.55000000E-01  2.08345305E-01  4.60519573E-07  1.48127202E-06  9.74664486E-01 -5.32896730E-06  2.34347792E-05  5.68541726E-08  5.79494685E-07 -3.86264023E-07
 1.60000000E-01  2.13210192E-01  4.33998792E-07  1.59832768E-06  9.71731556E-01 -5.28698900E-06  2.33731225E-05  5.65578404E-08  5.79198148E-07 -3.82907841E-07
 1.65000000E-01  2.18061519E-01  4.07668793E-07  1.71503915E-06  9.69181862E-01 -5.25238533E-06  2.33000820E-05  5.62532588E-08  5.79014473E-07 -3.79593715E-07
 1.70000000E-01  2.22901053E-01  3.81493375E-07  1.83135696E-06  9.66965333E-01 -5.22475316E-06  2.32182103E-05  5.59438765E-08  5.78913466E-07 -3.76359352E-07
 1.75000000E-01  2.27730338E-01  3.55438691E-07  1.94724333E-06  9.65038438E-01 -5.20360133E-06  2.31296886E-05  5.56326798E-08  5.78871309E-07 -3.73232127E-07
 1.80000000E-01  2.32550714E-01  3.29473564E-07  2.06267046E-06  9.63363339E-01 -5.18838625E-06  2.30363725E-05  5.53222279E-08  5.78869562E-07 -3.70231317E-07
 1.85000000E-01  2.37363343E-01  3.03569670E-07  2.17761904E-06  9.61907136E-01 -5.17853920E-06  2.29398341E-05  5.50146889E-08  5.78894158E-07 -3.67369890E-07
 1.90000000E-01  2.42169237E-01  2.77701592E-07  2.29207687E-06  9.60641230E-01 -5.17348723E-06  2.28413979E-05  5.47118597E-08  5.78934248E-07 -3.64655916E-07
 1.95000000E-01  2.46969279E-01  2.51846785E-07  2.40603776E-06  9.59540758E-01 -5.17266773E-06  2.27421728E-05  5.44152194E-08  5.78981798E-07 -3.62093461E-07
 2.00000000E-01  2.51764231E-01  2.25985495E-07  2.51950056E-06 -1.48499444E+00 -5.63994087E-05  6.18566355E-05 -3.99639714E-07 -2.90197838E-06 -2.23391153E-06
 2.05000000E-01  2.38227921E-01 -1.84078401E-07  2.92656990E-06 -1.35819297E+00 -4.32063083E-05  5.93444158E-05  3.69427857E-07 -1.32422617E-06 -1.45726682E-06
 2.10000000E-01  2.31753961E-01 -3.67127192E-07  3.21701143E-06 -1.20389019E+00 -3.02703605E-05  5.72661538E-05 -1.19106294E-07 -1.49330044E-06 -1.48770589E-06
 2.15000000E-01  2.26120266E-01 -4.86139125E-07  3.49814654E-06 -1.05458523E+00 -1.74963684E-05  5.44687458E-05 -6.53703349E-09 -9.63501010E-07 -1.15974248E-06
 2.20000000E-01  2.21220603E-01 -5.41685986E-07  3.76349675E-06 -9.19555689E-01 -6.80501467E-06  5.15708243E-05 -9.95660737E-09 -7.56344834E-07 -9.71557747E-07
 2.25000000E-01  2.16960398E-01 -5.48982675E-07  4.01410607E-06 -8.00362567E-01  1.92196264E-06  4.85451024E-05 -1.45933526E-08 -5.93892720E-07 -8.03211371E-07
 2.30000000E-01  2.13256568E-01 -5.17555419E-07  4.24926728E-06 -6.96120087E-01  8.88591331E-06  4.54534044E-05 -1.80184647E-08 -4.64735296E-07 -6.60611756E-07
 2.35000000E-01  2.10036573E-01 -4.55715975E-07  4.46880505E-06 -6.05283027E-01  1.43377002E-05  4.23515362E-05 -1.98861050E-08 -3.60191997E-07 -5.39416486E-07
