# Hasimoto simple-cubic correction, a=1.0, L=10
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.72045879
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.66046148E+00  2.14747415E-04  2.46864830E-04 -2.77282875E-06  3.87769104E-06  2.78401676E-06
 5.00000000E-03  1.33023074E-02  1.07373707E-06  1.23432415E-06  2.44096947E+00  2.04083291E-04  2.20315456E-04 -2.44941327E-06  3.36120161E-06  2.46654586E-06
 1.00000000E-02  2.49584247E-02  2.06749323E-06  2.26952799E-06  2.24987496E+00  1.50622129E-04  1.90817408E-04 -2.12033478E-06  2.76261898E-06  2.01071653E-06
 1.50000000E-02  3.57300632E-02  2.68695096E-06  3.14986992E-06  2.08149282E+00  1.04379752E-04  1.64609379E-04 -1.82844747E-06  2.19539398E-06  1.67246628E-06
 2.00000000E-02  4.57165719E-02  3.09324378E-06  3.90739674E-06  1.93433243E+00  6.51136982E-05  1.41411825E-04 -1.57214665E-06  1.70188765E-06  1.37714853E-06
 2.50000000E-02  5.50203331E-02  3.32064714E-06  4.55646197E-06  1.80612937E+00  3.20694208E-05  1.20919083E-04 -1.35024938E-06  1.28677593E-06  1.13581921E-06
 3.00000000E-02  6.37304723E-02  3.39838355E-06  5.10982553E-06  1.69458178E+00  4.40071454E-06  1.02843396E-04 -1.15908537E-06  9.43843444E-07  9.29583669E-07
 3.50000000E-02  7.19245121E-02  3.35121535E-06  5.57885329E-06  1.59757382E+00 -1.86820638E-05  8.69224950E-05 -9.95092901E-07  6.63591104E-07  7.53104498E-07
 4.00000000E-02  7.96698613E-02  3.20009809E-06  5.97366352E-06  1.51322663E+00 -3.78760648E-05  7.29203300E-05 -8.54918252E-07  4.36756160E-07  6.02072997E-07
 4.50000000E-02  8.70251266E-02  2.96273276E-06  6.30325976E-06  1.43989329E+00 -5.37836031E-05  6.06252277E-05 -7.35492551E-07  2.54975018E-07  4.72897228E-07
 5.00000000E-02  9.40412596E-02  2.65404590E-06  6.57564813E-06  1.37613738E+00 -6.69202676E-05  4.98477405E-05 -6.34052038E-07  1.10934979E-07  3.62535901E-07
 5.50000000E-02  1.00762557E-01  2.28660290E-06  6.79794313E-06  1.32070857E+00 -7.77254689E-05  4.04184299E-05 -5.48136388E-07 -1.67778612E-09  2.68397362E-07
 6.00000000E-02  1.07227528E-01  1.87096256E-06  6.97646200E-06  1.27251937E+00 -8.65729412E-05  3.21857762E-05 -4.75588611E-07 -8.81398691E-08  1.88209639E-07
 6.50000000E-02  1.13469651E-01  1.41597917E-06  7.11680923E-06  1.23062416E+00 -9.37798425E-05  2.50143387E-05 -4.14517473E-07 -1.53019527E-07  1.20287708E-07
 7.00000000E-02  1.19518034E-01  9.29062703E-07  7.22395234E-06  1.19420081E+00 -9.96144404E-05  1.87832878E-05 -3.63269885E-07 -1.99942399E-07  6.31265229E-08
 7.50000000E-02  1.25397980E-01  4.16404005E-07  7.30229115E-06  1.16253459E+00 -1.04303989E-04  1.33843953E-05 -3.20411312E-07 -2.32531261E-07  1.47313092E-08
 8.00000000E-02  1.31131487E-01 -1.16839811E-07  7.35571589E-06  1.13500412E+00 -1.08040717E-04  8.72117617E-06 -2.84683748E-07 -2.53803363E-07 -2.68522641E-08
 8.50000000E-02  1.36737682E-01 -6.66385215E-07  7.38766373E-06  1.11106921E+00 -1.10986614E-04  4.70741238E-06 -2.55005129E-07 -2.66054796E-07 -6.27965724E-08
 9.00000000E-02  1.42233190E-01 -1.22868303E-06  7.40116639E-06  1.09026023E+00 -1.13278419E-04  1.26621795E-06 -2.30434057E-07 -2.70677689E-07 -9.34814746E-08
 9.50000000E-02  1.47632469E-01 -1.80080464E-06  7.39889449E-06  1.07216891E+00 -1.15030827E-04 -1.67052410E-06 -2.10144545E-07 -2.69550440E-07 -1.19285059E-07
 1.00000000E-01  1.52948086E-01 -2.38033978E-06  7.38320001E-06  1.05644029E+00 -1.16340215E-04 -4.16354334E-06 -1.93453564E-07 -2.64039639E-07 -1.40932109E-07
 1.05000000E-01  1.58190965E-01 -2.96531434E-06  7.35614975E-06  1.04276579E+00 -1.17287395E-04 -6.26700957E-06 -1.79771826E-07 -2.55199576E-07 -1.59111054E-07
 1.10000000E-01  1.63370609E-01 -3.55411926E-06  7.31955603E-06  1.03087714E+00 -1.17939968E-04 -8.02905586E-06 -1.68597101E-07 -2.43911774E-07 -1.74393264E-07
 1.15000000E-01  1.68495272E-01 -4.14545052E-06  7.27500564E-06  1.02054111E+00 -1.18354398E-04 -9.49245170E-06 -1.59502889E-07 -2.30903754E-07 -1.87236617E-07
 1.20000000E-01  1.73572137E-01 -4.73825859E-06  7.22388489E-06  1.01155491E+00 -1.18577646E-04 -1.06950717E-05 -1.52129106E-07 -2.16767371E-07 -1.98021952E-07
 1.25000000E-01  1.78607447E-01 -5.33170494E-06  7.16740298E-06  1.00374226E+00 -1.18648617E-04 -1.16702988E-05 -1.46169905E-07 -2.01979055E-07 -2.07082687E-07
 1.30000000E-01  1.83606626E-01 -5.92512546E-06  7.10661341E-06  9.96949906E-01 -1.18599572E-04 -1.24477150E-05 -1.41382628E-07 -1.86936258E-07 -2.14700484E-07
 1.35000000E-01  1.88574394E-01 -6.51800070E-06  7.04243131E-06  9.91044594E-01 -1.18457442E-04 -1.30535418E-05 -1.37505445E-07 -1.71864662E-07 -2.21172082E-07
 1.40000000E-01  1.93514855E-01 -7.10993259E-06  6.97564903E-06  9.85910483E-01 -1.18244325E-04 -1.35111091E-05 -1.34409071E-07 -1.57058842E-07 -2.26647173E-07
 1.45000000E-01  1.98431572E-01 -7.70062142E-06  6.90694955E-06  9.81446859E-01 -1.17978375E-04 -1.38409841E-05 -1.31929594E-07 -1.42663027E-07 -2.31310260E-07
 1.50000000E-01  2.03327648E-01 -8.28984841E-06  6.83691996E-06  9.77566163E-01 -1.17674392E-04 -1.40613503E-05 -1.29942472E-07 -1.28800678E-07 -2.35304788E-07
 1.55000000E-01  2.08205777E-01 -8.87746043E-06  6.76606229E-06  9.74192267E-01 -1.17344368E-04 -1.41881725E-05 -1.28348248E-07 -1.15568907E-07 -2.38753483E-07
 1.60000000E-01  2.13068303E-01 -9.46335720E-06  6.69480437E-06  9.71258990E-01 -1.16998050E-04 -1.42353232E-05 -1.27064305E-07 -1.03042028E-07 -2.41757739E-07
 1.65000000E-01  2.17917265E-01 -1.00474817E-05  6.62350987E-06  9.68708792E-01 -1.16643187E-04 -1.42148376E-05 -1.26015647E-07 -9.12612108E-08 -2.44396051E-07
 1.70000000E-01  2.22754433E-01 -1.06298104E-05  6.55248691E-06  9.66491645E-01 -1.16285797E-04 -1.41373903E-05 -1.25139173E-07 -8.02313970E-08 -2.46736778E-07
 1.75000000E-01  2.27581348E-01 -1.12103459E-05  6.48199356E-06  9.64564058E-01 -1.15930606E-04 -1.40124918E-05 -1.24390007E-07 -6.99405321E-08 -2.48840582E-07
 1.80000000E-01  2.32399349E-01 -1.17891110E-05  6.41224335E-06  9.62888217E-01 -1.15581167E-04 -1.38485061E-05 -1.23728851E-07 -6.03677994E-08 -2.50759850E-07
 1.85000000E-01  2.37209601E-01 -1.23661432E-05  6.34341079E-06  9.61431248E-01 -1.15240234E-04 -1.36527295E-05 -1.23124685E-07 -5.14875111E-08 -2.52537828E-07
 1.90000000E-01  2.42013115E-01 -1.29414921E-05  6.27563658E-06  9.60164568E-01 -1.14909858E-04 -1.34314772E-05 -1.22554123E-07 -4.32718157E-08 -2.54207004E-07
 1.95000000E-01  2.46810770E-01 -1.35152154E-05  6.20903233E-06  9.59063329E-01 -1.14591493E-04 -1.31902328E-05 -1.21998452E-07 -3.56881313E-08 -2.55794993E-07
 2.00000000E-01  2.51603335E-01 -1.40873770E-05  6.14368427E-06 -1.48289318E+00 -3.19207436E-04 -2.29777834E-04  1.86511570E-06 -3.03107441E-06 -4.33951199E-06
 2.05000000E-01  2.38083977E-01 -1.61949540E-05  4.45332611E-06 -1.35630316E+00 -2.68232100E-04 -2.03101887E-04  2.24965192E-06 -4.92316566E-06 -6.77031207E-07
 2.10000000E-01  2.31618937E-01 -1.74086762E-05  3.50450654E-06 -1.20232640E+00 -2.01970444E-04 -1.71591019E-04  1.83035980E-06 -2.88806371E-06 -2.89887753E-06
 2.15000000E-01  2.25992246E-01 -1.82528743E-05  2.72532861E-06 -1.05327789E+00 -1.42489288E-04 -1.41113946E-04  1.69430513E-06 -2.66561733E-06 -2.15667471E-06
 2.20000000E-01  2.21098478E-01 -1.88166178E-05  2.09595155E-06 -9.18476580E-01 -9.01830038E-05 -1.13825805E-04  1.44766442E-06 -2.17229142E-06 -1.83556057E-06
 2.25000000E-01  2.16843099E-01 -1.91367671E-05  1.59504289E-06 -7.99477554E-01 -4.61378746E-05 -9.00238673E-05  1.22456639E-06 -1.73918225E-06 -1.57485961E-06
 2.30000000E-01  2.13143208E-01 -1.92573436E-05  1.20442839E-06 -6.95398392E-01 -9.70647850E-06 -6.95256074E-05  1.03069332E-06 -1.37211093E-06 -1.34652444E-06
 2.35000000E-01  2.09926415E-01 -1.92147976E-05  9.08046005E-07 -6.04697985E-01  2.00515077E-05 -5.20002245E-05  8.64888812E-07 -1.06677273E-06 -1.14857376E-06
 2.40000000E-01  2.07129675E-01 -1.90401451E-05  6.91858341E-07 -5.25769483E-01  4.40785808E-05 -3.70970877E-05  7.24058095E-07 -8.15330019E-07 -9.76766861E-07
 2.45000000E-01  2.04698149E-01 -1.87596845E-05  5.43630744E-07 -4.57123785E-01  6.32305215E-05 -2.44869102E-05  6.04827969E-07 -6.09767924E-07 -8.28040719E-07
 2.50000000E-01  2.02584145E-01 -1.83956520E-05  4.52721636E-07 -3.97434524E-01  7.82573514E-05 -1.38727788E-05  5.04068170E-07 -4.42790355E-07 -6.99742719E-07
 2.55000000E-01  2.00746195E-01 -1.79667982E-05  4.09893071E-07 -3.45537632E-01  8.98071418E-05 -4.99123965E-06  4.19027744E-07 -3.08047891E-07 -5.89468841E-07
