# Hasimoto simple-cubic correction, a=1.0, L=30
# Q(L) = 1 - 2.8373*(a/L) + (4*pi/3)*(a/L)**3 = 0.90557847
# columns 1-6 (x,y,z,Ux,Uy,Uz) divided by Q(L); t and W unchanged
# t  x  y  z  Ux  Uy  Uz  Wx  Wy  Wz
 0.00000000E+00  0.00000000E+00  0.00000000E+00  0.00000000E+00  2.66300645E+00  5.43472935E-05  4.96676121E-05 -2.27340377E-06 -9.60643363E-07 -6.26306055E-07
 5.00000000E-03  1.33150323E-02  2.71736468E-07  2.48338061E-07  2.44326930E+00  5.01284696E-05  4.28675196E-05 -1.99118321E-06 -8.03189224E-07 -6.24703319E-07
 1.00000000E-02  2.49820359E-02  5.11831756E-07  4.45675427E-07  2.25187774E+00  5.21740679E-05  4.29081126E-05 -1.69790559E-06 -6.07031213E-07 -6.63858264E-07
 1.50000000E-02  3.57629457E-02  7.77816092E-07  6.60317473E-07  2.08323906E+00  5.38496383E-05  4.26591311E-05 -1.44377974E-06 -4.36546576E-07 -7.03246300E-07
 2.00000000E-02  4.57575443E-02  1.05125321E-06  8.72990675E-07  1.93585993E+00  5.51450544E-05  4.20682575E-05 -1.22926043E-06 -2.96851248E-07 -7.33056602E-07
 2.50000000E-02  5.50683961E-02  1.33021702E-06  1.08185478E-06  1.80747148E+00  5.60949113E-05  4.11788518E-05 -1.05093243E-06 -1.76747994E-07 -7.54220863E-07
 3.00000000E-02  6.37847824E-02  1.61306622E-06  1.28552552E-06  1.69576734E+00  5.67433040E-05  4.00547828E-05 -9.03326724E-07 -7.59770733E-08 -7.66347428E-07
 3.50000000E-02  7.19843587E-02  1.89840373E-06  1.48298926E-06  1.59862755E+00  5.71340157E-05  3.87587779E-05 -7.81502338E-07  8.09053161E-09 -7.71024479E-07
 4.00000000E-02  7.97346471E-02  2.18505058E-06  1.67354314E-06  1.51416961E+00  5.73074476E-05  3.73456170E-05 -6.81190041E-07  7.78830931E-08 -7.69745674E-07
 4.50000000E-02  8.70943502E-02  2.47202139E-06  1.85673833E-06  1.44074340E+00  5.72998539E-05  3.58609601E-05 -5.98781391E-07  1.35552130E-07 -7.63823886E-07
 5.00000000E-02  9.41145017E-02  2.75850168E-06  2.03233148E-06  1.37690982E+00  5.71433258E-05  3.43419372E-05 -5.31252192E-07  1.82974221E-07 -7.54378099E-07
 5.50000000E-02  1.00839467E-01  3.04382699E-06  2.20024361E-06  1.32141622E+00  5.68660193E-05  3.28182136E-05 -4.76075568E-07  2.21772222E-07 -7.42346081E-07
 6.00000000E-02  1.07307814E-01  3.32746382E-06  2.36052537E-06  1.27317310E+00  5.64924613E-05  3.13130991E-05 -4.31142218E-07  2.53337592E-07 -7.28506103E-07
 6.50000000E-02  1.13553071E-01  3.60899224E-06  2.51332808E-06  1.23123315E+00  5.60438729E-05  2.98445551E-05 -3.94692456E-07  2.78856548E-07 -7.13513670E-07
 7.00000000E-02  1.19604388E-01  3.88809012E-06  2.65887949E-06  1.19477283E+00  5.55384902E-05  2.84261207E-05 -3.65275033E-07  2.99512932E-07 -6.97994648E-07
 7.50000000E-02  1.25487101E-01  4.16451912E-06  2.79746401E-06  1.16307617E+00  5.49918657E-05  2.70677247E-05 -3.41658564E-07  3.16339459E-07 -6.82675537E-07
 8.00000000E-02  1.31223240E-01  4.43811189E-06  2.92940665E-06  1.13552073E+00  5.44172319E-05  2.57761352E-05 -3.22817962E-07  3.29717266E-07 -6.68063612E-07
 8.50000000E-02  1.36831955E-01  4.70876146E-06  3.05505835E-06  1.11156545E+00  5.38258836E-05  2.45558530E-05 -3.07942066E-07  3.40127551E-07 -6.54217038E-07
 9.00000000E-02  1.42329894E-01  4.97641252E-06  3.17478691E-06  1.09073993E+00  5.32273446E-05  2.34092817E-05 -2.96333081E-07  3.47915443E-07 -6.40906230E-07
 9.50000000E-02  1.47731529E-01  5.24105288E-06  3.28896688E-06  1.07263525E+00  5.26291758E-05  2.23376063E-05 -2.87386210E-07  3.53945758E-07 -6.28045664E-07
 1.00000000E-01  1.53049444E-01  5.50270335E-06  3.39797574E-06  1.05689595E+00  5.20373989E-05  2.13402943E-05 -2.80601216E-07  3.58738070E-07 -6.15472885E-07
 1.05000000E-01  1.58294577E-01  5.76141090E-06  3.50218392E-06  1.04321296E+00  5.14571909E-05  2.04157161E-05 -2.75559725E-07  3.62430808E-07 -6.03280778E-07
 1.10000000E-01  1.63476433E-01  6.01724633E-06  3.60195106E-06  1.03131765E+00  5.08925867E-05  1.95617490E-05 -2.71918600E-07  3.65203079E-07 -5.91615580E-07
 1.15000000E-01  1.68603283E-01  6.27029775E-06  3.69762489E-06  1.02097645E+00  5.03467447E-05  1.87757528E-05 -2.69397057E-07  3.67235255E-07 -5.80544116E-07
 1.20000000E-01  1.73682313E-01  6.52066687E-06  3.78953865E-06  1.01198632E+00  4.98220413E-05  1.80547010E-05 -2.67764065E-07  3.68675127E-07 -5.70110160E-07
 1.25000000E-01  1.78719769E-01  6.76846532E-06  3.87800953E-06  1.00417075E+00  4.93201792E-05  1.73953000E-05 -2.66830994E-07  3.69641343E-07 -5.60340908E-07
 1.30000000E-01  1.83721084E-01  7.01381156E-06  3.96333753E-06  9.97376282E-01  4.88422957E-05  1.67940859E-05 -2.66444424E-07  3.70230668E-07 -5.51249651E-07
 1.35000000E-01  1.88690979E-01  7.25682833E-06  4.04580493E-06  9.91469517E-01  4.83890551E-05  1.62475073E-05 -2.66479566E-07  3.70523811E-07 -5.42835931E-07
 1.40000000E-01  1.93633559E-01  7.49764051E-06  4.12567602E-06  9.86334481E-01  4.79607309E-05  1.57519934E-05 -2.66834868E-07  3.70588542E-07 -5.35086905E-07
 1.45000000E-01  1.98552394E-01  7.73637335E-06  4.20319719E-06  9.81870349E-01  4.75572757E-05  1.53040106E-05 -2.67427931E-07  3.70480960E-07 -5.27979792E-07
 1.50000000E-01  2.03450586E-01  7.97315108E-06  4.27859730E-06  9.77989472E-01  4.71783824E-05  1.49001048E-05 -2.68192278E-07  3.70246942E-07 -5.21485083E-07
 1.55000000E-01  2.08330831E-01  8.20809577E-06  4.35208806E-06  9.74615650E-01  4.68235365E-05  1.45369326E-05 -2.69074689E-07  3.69923295E-07 -5.15568911E-07
 1.60000000E-01  2.13195475E-01  8.44132634E-06  4.42386479E-06  9.71682640E-01  4.64920607E-05  1.42112841E-05 -2.70032883E-07  3.69539524E-07 -5.10195386E-07
 1.65000000E-01  2.18046556E-01  8.67295795E-06  4.49410709E-06  9.69132851E-01  4.61831526E-05  1.39200998E-05 -2.71033541E-07  3.69119079E-07 -5.05327905E-07
 1.70000000E-01  2.22885846E-01  8.90310145E-06  4.56297962E-06  9.66916219E-01  4.58959169E-05  1.36604804E-05 -2.72050653E-07  3.68680183E-07 -5.00930245E-07
 1.75000000E-01  2.27714885E-01  9.13186294E-06  4.63063297E-06  9.64989217E-01  4.56293923E-05  1.34296937E-05 -2.73064171E-07  3.68237204E-07 -4.96967166E-07
 1.80000000E-01  2.32535013E-01  9.35934359E-06  4.69720448E-06  9.63314008E-01  4.53825740E-05  1.32251761E-05 -2.74058933E-07  3.67801025E-07 -4.93404641E-07
 1.85000000E-01  2.37347395E-01  9.58563941E-06  4.76281907E-06  9.61857695E-01  4.51544332E-05  1.30445331E-05 -2.75023710E-07  3.67379876E-07 -4.90210108E-07
